date,portfolio_value,cash_balance,total_pnl,total_pnl_percent,signals_count,predictions,positions_count
2023-02-20T00:00:00,658007383.0695599,8526207.429560004,648007383.06956,6480.073830695601,20,{},3
2023-02-21T00:00:00,649279793.25956,8526207.429560004,639279793.25956,6392.7979325956,20,{},3
2023-02-22T00:00:00,659911205.8595599,8526207.429560004,649911205.85956,6499.1120585956,20,{},3
2023-02-23T00:00:00,656516398.7295599,8526207.429560004,646516398.72956,6465.163987295599,20,{},3
2023-02-24T00:00:00,668828869.2495599,8526207.429560004,658828869.24956,6588.2886924956,20,{},3
2023-02-25T00:00:00,644208115.0920601,8545752.652060004,634208115.0920601,6342.081150920601,20,{},3
2023-02-26T00:00:00,649543404.79456,8565297.874560004,639543404.7945601,6395.4340479456005,20,{},3
2023-02-27T00:00:00,586005317.65257,8670889.032570003,576005317.65257,5760.0531765257,20,{},3
2023-02-28T00:00:00,543857404.4006,8767484.650600001,533857404.40059996,5338.574044006,20,{},3
2023-03-01T00:00:00,527595158.3406,8767484.650600001,517595158.3406,5175.951583406,20,{},3
2023-03-02T00:00:00,523132364.1006,8767484.650600001,513132364.10059994,5131.323641005999,20,{},3
2023-03-03T00:00:00,534724545.2406,8767484.650600001,524724545.2406,5247.2454524059995,20,{},3
2023-03-04T00:00:00,532116259.6006,8767484.650600001,522116259.60059994,5221.162596006,20,{},3
2023-03-05T00:00:00,528422421.05060005,8767484.650600001,518422421.0506,5184.224210506,20,{},3
2023-03-06T00:00:00,519667081.9506,8767484.650600001,509667081.95059997,5096.670819505999,20,{},3
2023-03-07T00:00:00,519666563.6406,8767484.650600001,509666563.6406,5096.665636406,20,{},3
2023-03-08T00:00:00,511916403.1506,8767484.650600001,501916403.1506,5019.164031505999,20,{},3
2023-03-09T00:00:00,534392946.57060003,8767484.650600001,524392946.5706,5243.929465706,20,{},3
2023-03-10T00:00:00,522026188.06060004,8767484.650600001,512026188.0606,5120.261880605999,20,{},3
2023-03-11T00:00:00,537590168.0605999,8767484.650600001,527590168.0605999,5275.901680605999,20,{},3
2023-03-12T00:00:00,542791130.3806,8767484.650600001,532791130.3806,5327.9113038059995,20,{},3
2023-03-13T00:00:00,542744080.1006,8767484.650600001,532744080.1006,5327.440801006,20,{},3
2023-03-14T00:00:00,536046931.4106,8767484.650600001,526046931.41059995,5260.469314106,20,{},3
2023-03-15T00:00:00,473097720.07062,8840348.160620002,463097720.07062,4630.9772007062,20,{},3
2023-03-16T00:00:00,483880133.74061996,8840348.160620002,473880133.74062,4738.8013374062,20,{},3
2023-03-17T00:00:00,476185083.64062,8840348.160620002,466185083.64062,4661.8508364062,20,{},3
2023-03-18T00:00:00,478380648.89061993,8840348.160620002,468380648.89062,4683.8064889062,20,{},3
2023-03-19T00:00:00,473884878.0231199,8875085.783120003,463884878.02312,4638.8487802312,20,{},3
2023-03-20T00:00:00,469310976.45512,8906845.895120002,459310976.45512,4593.1097645512,20,{},3
2023-03-21T00:00:00,479703399.59312,8934635.993120002,469703399.59312,4697.0339959312,20,{},3
2023-03-22T00:00:00,491817956.00412,8960441.084120002,481817956.00412,4818.179560041201,20,{},3
2023-03-23T00:00:00,495478547.38461995,8983268.66462,485478547.38462,4854.7854738462,20,{},3
2023-03-24T00:00:00,483745131.03812003,9004111.23812,473745131.03812,4737.4513103812,20,{},3
2023-03-25T00:00:00,481445137.53462005,9022968.804620001,471445137.53462,4714.4513753462,20,{},3
2023-03-26T00:00:00,492953122.32412004,9039841.364120001,482953122.32412004,4829.5312232412,20,{},3
2023-03-27T00:00:00,493318339.01662,9054728.916620001,483318339.01662,4833.1833901662,20,{},3
2023-03-28T00:00:00,487785050.56212,9067631.46212,477785050.56212,4777.850505621201,20,{},3
2023-03-29T00:00:00,487690100.14412004,9079541.50412,477690100.14412004,4776.901001441201,20,{},3
2023-03-30T00:00:00,485245942.33261997,9090459.04262,475245942.33261997,4752.4594233262,20,{},3
2023-03-31T00:00:00,473244861.4376199,9100384.07762,463244861.43762,4632.448614376201,20,{},3
2023-04-01T00:00:00,480779083.46911997,9109316.60912,470779083.46911997,4707.7908346912,20,{},3
2023-04-02T00:00:00,466762395.63712,9117256.637120001,456762395.63712,4567.623956371201,20,{},3
2023-04-03T00:00:00,475478902.06162,9124204.16162,465478902.06162,4654.7890206162,20,{},3
2023-04-04T00:00:00,476364117.90261996,9130159.18262,466364117.90261996,4663.641179026199,20,{},3
2023-04-05T00:00:00,498903665.98362,9136114.20362,488903665.98362,4889.0366598362,20,{},3
2023-04-06T00:00:00,490556695.90362,9136114.20362,480556695.90362,4805.5669590362,20,{},3
2023-04-07T00:00:00,504956067.18362004,9136114.20362,494956067.18362004,4949.5606718362005,20,{},3
2023-04-08T00:00:00,484232405.98362005,9136114.20362,474232405.98362005,4742.324059836201,20,{},3
2023-04-09T00:00:00,483626492.04362005,9136114.20362,473626492.04362005,4736.264920436201,20,{},3
2023-04-10T00:00:00,490935029.73362,9136114.20362,480935029.73362,4809.3502973362,20,{},3
