date,portfolio_value,cash_balance,total_pnl,total_pnl_percent,signals_count,predictions,positions_count
2023-05-09T00:00:00,239522702.12312,9099976.453119997,229522702.12312,2295.2270212312,20,{},5
2023-05-10T00:00:00,237270552.79267,9125124.772669997,227270552.79267,2272.7055279267,20,{},5
2023-05-11T00:00:00,234931570.38702,9147684.787019998,224931570.38702,2249.3157038701997,20,{},5
2023-05-12T00:00:00,235084932.32702,9147684.787019998,225084932.32702,2250.8493232702,20,{},5
2023-05-13T00:00:00,236628332.79401997,9171139.054019999,226628332.79402,2266.2833279402003,20,{},5
2023-05-14T00:00:00,233927103.79102,9194593.32102,223927103.79101998,2239.2710379102,20,{},5
2023-05-15T00:00:00,236940512.63452,9220093.56452,226940512.63452,2269.4051263452,20,{},5
2023-05-16T00:00:00,233536457.16452003,9244601.30452,223536457.16452,2235.3645716452,20,{},5
2023-05-17T00:00:00,237641978.97002,9265200.00002,227641978.97002,2276.4197897002,20,{},5
2023-05-18T00:00:00,244225277.69202,9284806.192019999,234225277.69201997,2342.2527769201997,20,{},5
2023-05-19T00:00:00,239381824.95602,9288776.20602,229381824.95602,2293.8182495602,20,{},5
2023-05-20T00:00:00,228548399.59652,9291753.71652,218548399.59651998,2185.4839959652,20,{},5
2023-05-21T00:00:00,231402669.27652,9291753.71652,221402669.27651998,2214.0266927652,20,{},5
2023-05-22T00:00:00,244032220.69652003,9291753.71652,234032220.69652,2340.3222069651997,20,{},5
2023-05-23T00:00:00,235248790.59652,9291753.71652,225248790.59652,2252.4879059652003,20,{},5
2023-05-24T00:00:00,236934568.01652002,9291753.71652,226934568.01652,2269.3456801652,20,{},5
2023-05-25T00:00:00,233438073.71652004,9291753.71652,223438073.71652,2234.3807371652,20,{},5
2023-05-26T00:00:00,233664818.59652,9291753.71652,223664818.59651998,2236.6481859652,20,{},5
2023-05-27T00:00:00,237770479.13652,9291753.71652,227770479.13652,2277.7047913652,20,{},5
2023-05-28T00:00:00,237593943.43652,9291753.71652,227593943.43651998,2275.9394343651998,20,{},5
2023-05-29T00:00:00,230675916.33652,9291753.71652,220675916.33652,2206.7591633652,20,{},5
2023-05-30T00:00:00,234778650.97652,9291753.71652,224778650.97651997,2247.7865097651998,20,{},5
2023-05-31T00:00:00,230312932.79652002,9291753.71652,220312932.79652,2203.1293279652,20,{},5
2023-06-01T00:00:00,234954357.55137,9303877.95137,224954357.55137,2249.5435755137,20,{},5
2023-06-02T00:00:00,236406954.28607,9314803.086070001,226406954.28607,2264.0695428607,20,{},5
2023-06-03T00:00:00,244424260.32397,9324662.35397,234424260.32397,2344.2426032396997,20,{},5
2023-06-04T00:00:00,236383812.81507,9333455.75507,226383812.81506997,2263.8381281507,20,{},5
2023-06-05T00:00:00,237467858.31607,9341449.756070001,227467858.31607,2274.6785831607,20,{},5
2023-06-06T00:00:00,239514732.29697004,9348644.356970001,229514732.29697,2295.1473229697003,20,{},5
2023-06-07T00:00:00,235227317.17697,9348644.356970001,225227317.17697,2252.2731717696997,20,{},5
2023-06-08T00:00:00,232014760.62697002,9348644.356970001,222014760.62697,2220.1476062697,20,{},5
2023-06-09T00:00:00,240977525.78697,9348644.356970001,230977525.78697,2309.7752578697,20,{},5
2023-06-10T00:00:00,236037911.26697004,9348644.356970001,226037911.26697,2260.3791126697,20,{},5
2023-06-11T00:00:00,234460377.66697004,9348644.356970001,224460377.66697,2244.6037766697,20,{},5
2023-06-12T00:00:00,237340237.59697002,9348644.356970001,227340237.59697002,2273.4023759697,20,{},5
2023-06-13T00:00:00,239604623.14696997,9348644.356970001,229604623.14696997,2296.0462314696997,20,{},5
2023-06-14T00:00:00,236930286.75697,9348644.356970001,226930286.75697,2269.3028675697,20,{},5
2023-06-15T00:00:00,242516561.98697,9348644.356970001,232516561.98697,2325.1656198697,20,{},5
2023-06-16T00:00:00,234554560.05697,9348644.356970001,224554560.05696997,2245.5456005696997,20,{},5
2023-06-17T00:00:00,236072599.85697,9348644.356970001,226072599.85697,2260.7259985697,20,{},5
2023-06-18T00:00:00,235832366.92697,9348644.356970001,225832366.92696998,2258.3236692696996,20,{},5
2023-06-19T00:00:00,244305805.79797,9356758.29797,234305805.79797,2343.0580579796997,20,{},5
2023-06-20T00:00:00,240487458.06497002,9364080.63497,230487458.06497,2304.8745806497,20,{},5
2023-06-21T00:00:00,231093308.49797,9370611.36797,221093308.49797,2210.9330849797,20,{},5
2023-06-22T00:00:00,237393138.85847,9373588.87847,227393138.85847,2273.9313885847,20,{},5
2023-06-23T00:00:00,231685942.66897,9376566.38897,221685942.66897,2216.8594266897,20,{},5
2023-06-24T00:00:00,243851349.78947,9379543.899470001,233851349.78947,2338.5134978947,20,{},5
2023-06-25T00:00:00,239245191.07647,9381528.90647,229245191.07647,2292.4519107646997,20,{},5
2023-06-26T00:00:00,237758706.81347,9383513.91347,227758706.81347,2277.5870681347,20,{},5
2023-06-27T00:00:00,239163494.15047,9385498.92047,229163494.15047,2291.6349415047,20,{},5
2023-06-28T00:00:00,241146600.92747,9387483.927469999,231146600.92747,2311.4660092747,20,{},5
2023-06-29T00:00:00,238077166.77097,9388476.430969998,228077166.77097,2280.7716677096996,20,{},5
2023-06-30T00:00:00,235598420.51097,9388476.430969998,225598420.51097,2255.9842051097,20,{},5
2023-07-01T00:00:00,241605477.46096998,9388476.430969998,231605477.46096998,2316.0547746097,20,{},5
2023-07-02T00:00:00,241242728.82097,9388476.430969998,231242728.82097,2312.4272882097,20,{},5
2023-07-03T00:00:00,217294453.88856,9419885.538559997,207294453.88856003,2072.9445388856,20,{},5
2023-07-04T00:00:00,192978134.58743998,9448153.637439998,182978134.58744,1829.7813458744004,20,{},5
2023-07-05T00:00:00,197484445.26094002,9459880.770939998,187484445.26094002,1874.8444526094002,20,{},5
2023-07-06T00:00:00,192701234.15444,9471607.904439999,182701234.15444,1827.0123415443998,20,{},5
2023-07-07T00:00:00,191426743.09443998,9471607.904439999,181426743.09444,1814.2674309444,20,{},5
2023-07-08T00:00:00,194855102.15444002,9471607.904439999,184855102.15444002,1848.5510215444,20,{},5
2023-07-09T00:00:00,194871069.44443998,9471607.904439999,184871069.44443998,1848.7106944443997,20,{},5
2023-07-10T00:00:00,195763861.69444,9471607.904439999,185763861.69444004,1857.6386169444004,20,{},5
2023-07-11T00:00:00,190422406.50443998,9471607.904439999,180422406.50444,1804.2240650444,20,{},5
2023-07-12T00:00:00,195020608.97443998,9471607.904439999,185020608.97444,1850.2060897444,20,{},5
2023-07-13T00:00:00,194711884.70444,9471607.904439999,184711884.70444,1847.1188470444,20,{},5
2023-07-14T00:00:00,189375727.03443995,9471607.904439999,179375727.03443998,1793.7572703443998,20,{},5
2023-07-15T00:00:00,198978850.56443998,9471607.904439999,188978850.56444,1889.7885056444,20,{},5
2023-07-16T00:00:00,196704722.57443997,9471607.904439999,186704722.57444,1867.0472257444,20,{},5
2023-07-17T00:00:00,193699079.83444,9471607.904439999,183699079.83444,1836.9907983443998,20,{},5
2023-07-18T00:00:00,201857236.30443996,9471607.904439999,191857236.30444,1918.5723630444,20,{},5
2023-07-19T00:00:00,197454895.57443997,9471607.904439999,187454895.57444,1874.5489557444,20,{},5
2023-07-20T00:00:00,196736500.57444,9471607.904439999,186736500.57444003,1867.3650057444004,20,{},5
2023-07-21T00:00:00,186856617.73443997,9471607.904439999,176856617.73444,1768.5661773444,20,{},5
2023-07-22T00:00:00,203747547.52444,9471607.904439999,193747547.52444002,1937.4754752444,20,{},5
2023-07-23T00:00:00,194912153.76444,9471607.904439999,184912153.76444003,1849.1215376444004,20,{},5
2023-07-24T00:00:00,197493282.65443996,9471607.904439999,187493282.65444,1874.9328265443999,20,{},5
2023-07-25T00:00:00,195037436.84523997,9483940.135239998,185037436.84524,1850.3743684524,20,{},5
2023-07-26T00:00:00,189043275.28964,9495145.729639998,179043275.28964,1790.4327528964,20,{},5
2023-07-27T00:00:00,195484332.46429,9505091.454289997,185484332.46429,1854.8433246429,20,{},5
2023-07-28T00:00:00,196995404.97629,9509445.276289998,186995404.97629,1869.9540497628998,20,{},5
2023-07-29T00:00:00,197394555.45629,9513403.296289997,187394555.45629,1873.9455545628998,20,{},5
2023-07-30T00:00:00,189582685.17629,9513403.296289997,179582685.17628998,1795.8268517628999,20,{},5
2023-07-31T00:00:00,196235289.89429,9516965.514289998,186235289.89428997,1862.3528989428999,20,{},5
2023-08-01T00:00:00,200291059.88028997,9520131.930289997,190291059.88029,1902.9105988028998,20,{},5
2023-08-02T00:00:00,191200421.23429,9522902.544289997,181200421.23429,1812.0042123429002,20,{},5
2023-08-03T00:00:00,197004460.24729002,9525475.257289996,187004460.24729,1870.0446024728997,20,{},5
2023-08-04T00:00:00,187330474.63928998,9527850.069289997,177330474.63929,1773.3047463929001,20,{},5
2023-08-05T00:00:00,197466540.55929,9529829.079289997,187466540.55929,1874.6654055929,20,{},5
2023-08-06T00:00:00,197007931.84929,9529829.079289997,187007931.84929,1870.0793184929,20,{},5
2023-08-07T00:00:00,202188110.45929003,9529829.079289997,192188110.45929003,1921.8811045929,20,{},5
2023-08-08T00:00:00,198416117.36929,9529829.079289997,188416117.36929,1884.1611736929,20,{},5
2023-08-09T00:00:00,196405279.02929,9529829.079289997,186405279.02929,1864.0527902928998,20,{},5
2023-08-10T00:00:00,197308186.52929,9529829.079289997,187308186.52929,1873.0818652929,20,{},5
2023-08-11T00:00:00,194069808.68929,9529829.079289997,184069808.68929,1840.6980868928997,20,{},5
2023-08-12T00:00:00,200707016.77929002,9529829.079289997,190707016.77929002,1907.0701677929,20,{},5
2023-08-13T00:00:00,198385882.42929003,9529829.079289997,188385882.42929003,1883.8588242929002,20,{},5
2023-08-14T00:00:00,194914414.55929002,9529829.079289997,184914414.55929002,1849.1441455929003,20,{},5
2023-08-15T00:00:00,201384513.49654,9534492.246539997,191384513.49654,1913.8451349654001,20,{},5
2023-08-16T00:00:00,173647053.77949,9559933.619489998,163647053.77949,1636.4705377949,20,{},5
2023-08-17T00:00:00,164669775.79518,9582830.785179997,154669775.79517996,1546.6977579517995,20,{},5
2023-08-18T00:00:00,142671158.07628,9603438.276279997,132671158.07628,1326.7115807628,20,{},5
2023-08-19T00:00:00,129665220.38827,9621985.018269997,119665220.38827,1196.6522038827,20,{},5
2023-08-20T00:00:00,120419450.95804001,9638677.128039997,110419450.95804,1104.1945095803999,20,{},5
2023-08-21T00:00:00,113156238.49284,9653700.012839997,103156238.49284,1031.5623849284,20,{},5
2023-08-22T00:00:00,106682116.23284,9653700.012839997,96682116.23283999,966.8211623283999,20,{},5
2023-08-23T00:00:00,108082604.90284,9653700.012839997,98082604.90283999,980.8260490283999,20,{},5
2023-08-24T00:00:00,108260706.77284,9653700.012839997,98260706.77283998,982.6070677283998,20,{},5
2023-08-25T00:00:00,109044493.99284,9653700.012839997,99044493.99283999,990.4449399283999,20,{},5
2023-08-26T00:00:00,111899829.18284,9653700.012839997,101899829.18283999,1018.9982918283998,20,{},5
2023-08-27T00:00:00,109640541.85004,9657963.480039997,99640541.85004,996.4054185004001,20,{},5
2023-08-28T00:00:00,105954549.40069,9662819.750689996,95954549.40069,959.5454940069001,20,{},5
2023-08-29T00:00:00,109904611.09129,9667276.321289996,99904611.09129,999.0461109128998,20,{},5
2023-08-30T00:00:00,109350975.00184,9671333.191839995,99350975.00184,993.5097500183999,20,{},5
2023-08-31T00:00:00,113611309.93569,9675123.595689995,103611309.93569,1036.1130993569,20,{},5
2023-09-01T00:00:00,108983588.00284,9678647.532839995,98983588.00284,989.8358800283999,20,{},5
2023-09-02T00:00:00,108550115.48329,9681905.003289994,98550115.48328999,985.5011548328999,20,{},5
2023-09-03T00:00:00,110434484.27703999,9684896.007039994,100434484.27703999,1004.3448427703999,20,{},5
2023-09-04T00:00:00,106866655.61744,9687753.777439993,96866655.61744,968.6665561744001,20,{},5
2023-09-05T00:00:00,107615021.22094,9688746.280939993,97615021.22094,976.1502122093999,20,{},5
2023-09-06T00:00:00,109564941.88263999,9699277.612639993,99556009.35113999,995.5600935113999,20,{},5
2023-09-07T00:00:00,111537859.66099,9709675.710989993,101521994.49999,1015.2199449998999,20,{},5
2023-09-08T00:00:00,110352554.74449,9711008.044489993,100336689.58349,1003.3668958349001,18,{},5
2023-09-09T00:00:00,112971965.98448999,9711008.044489993,102956100.82349,1029.5610082348999,18,{},5
2023-09-10T00:00:00,110701450.89448999,9711008.044489993,100685585.73348999,1006.8558573349,18,{},5
2023-09-11T00:00:00,107630781.67448999,9711008.044489993,97614916.51348999,976.1491651348999,18,{},5
2023-09-12T00:00:00,109431791.42448999,9711008.044489993,99415926.26348999,994.1592626349,18,{},5
2023-09-13T00:00:00,107639988.98448999,9711008.044489993,97624123.82349,976.2412382349,18,{},5
2023-09-14T00:00:00,99253053.48081,9724528.640809992,89237188.31981,892.3718831981,18,{},5
